color_code,color_name,hex_code,manufacturer,deck
AC-1,Coastal Fog,#CBC5B1,Benjamin Moore,Americas Colors
AC-2,Berkshire Beige,#B0A690,Benjamin Moore,Americas Colors
AC-3,Texas Leather,#867B69,Benjamin Moore,Americas Colors
AC-4,Yosemite Sand,#DECAAD,Benjamin Moore,Americas Colors
AC-5,Springfield Tan,#C1A888,Benjamin Moore,Americas Colors
AC-6,New Chestnut,#A18562,Benjamin Moore,Americas Colors
AC-7,Adobe Beige,#D9C5AC,Benjamin Moore,Americas Colors
AC-8,Butte Rock,#C9AC8C,Benjamin Moore,Americas Colors
AC-9,Nugget,#B7916C,Benjamin Moore,Americas Colors
AC-10,San Clemente Rose,#DBB9A2,Benjamin Moore,Americas Colors
AC-11,Sierra Ridge,#CBA387,Benjamin Moore,Americas Colors
AC-12,Copper Mountain,#B27E61,Benjamin Moore,Americas Colors
AC-13,Mochachino,#D9BEAE,Benjamin Moore,Americas Colors
AC-14,Pecos Spice,#C49E88,Benjamin Moore,Americas Colors
AC-15,Colorado Clay,#B88D76,Benjamin Moore,Americas Colors
AC-16,Kentucky Haze,#A4B1AF,Benjamin Moore,Americas Colors
AC-17,Sea Pine,#8C9591,Benjamin Moore,Americas Colors
AC-18,Smoky Mountain,#7B8580,Benjamin Moore,Americas Colors
AC-19,Homestead Green,#A5BCB7,Benjamin Moore,Americas Colors
AC-20,Mountain Laurel,#758F89,Benjamin Moore,Americas Colors
AC-21,Silver Pine,#5B726A,Benjamin Moore,Americas Colors
AC-22,Nantucket Fog,#A3B5BB,Benjamin Moore,Americas Colors
AC-23,James River Gray,#87999F,Benjamin Moore,Americas Colors
AC-24,Charlotte Slate,#677A80,Benjamin Moore,Americas Colors
AC-25,Harbor Gray,#C8C8C3,Benjamin Moore,Americas Colors
AC-26,Ozark Shadows,#B7B5AD,Benjamin Moore,Americas Colors
AC-27,Galveston Gray,#9A968D,Benjamin Moore,Americas Colors
AC-28,Smoke Embers,#C2C0BB,Benjamin Moore,Americas Colors
AC-29,San Antonio Gray,#B5B3AF,Benjamin Moore,Americas Colors
AC-30,Winter Gates,#A39E97,Benjamin Moore,Americas Colors
AC-31,Hot Spring Stones,#CABFB0,Benjamin Moore,Americas Colors
AC-32,Pismo Dunes,#B8AB9B,Benjamin Moore,Americas Colors
AC-33,Mesa Verde Tan,#A08F7D,Benjamin Moore,Americas Colors
AC-34,Cape Hatteras Sand,#BFB9AF,Benjamin Moore,Americas Colors
AC-35,Valley Forge Tan,#B7B0A4,Benjamin Moore,Americas Colors
AC-36,Shenandoah Taupe,#A69B8E,Benjamin Moore,Americas Colors
AC-37,Big Bend Beige,#D3C9BE,Benjamin Moore,Americas Colors
AC-38,North Hampton Beige,#C4B9AF,Benjamin Moore,Americas Colors
AC-39,Mt. Rushmore Rock,#AA9B8E,Benjamin Moore,Americas Colors
AC-40,Glacier White,#EDEBE1,Benjamin Moore,Americas Colors
AC-41,Acadia White,#F3F0E0,Benjamin Moore,Americas Colors
AC-42,Grand Teton White,#EAE6D1,Benjamin Moore,Americas Colors
