color_code,color_name,hex_code,manufacturer,deck
CSP-5,Perspective®,#CCCECB,Benjamin Moore,Color Stories
CSP-10,Soho Loft,#9A9593,Benjamin Moore,Color Stories
CSP-15,Arctic Seal,#6D6C6E,Benjamin Moore,Color Stories
CSP-20,Wall Street,#939493,Benjamin Moore,Color Stories
CSP-25,Wool Peacoat,#858282,Benjamin Moore,Color Stories
CSP-30,Espresso Bean,#3C3331,Benjamin Moore,Color Stories
CSP-35,Penthouse,#D5D1C4,Benjamin Moore,Color Stories
CSP-40,Museum Piece,#B1ADA4,Benjamin Moore,Color Stories
CSP-45,Street Chic,#858581,Benjamin Moore,Color Stories
CSP-50,Rainstorm,#939692,Benjamin Moore,Color Stories
CSP-55,Gray Gardens,#727672,Benjamin Moore,Color Stories
CSP-60,City Shadow,#636564,Benjamin Moore,Color Stories
CSP-65,Old Soul,#C5BBAC,Benjamin Moore,Color Stories
CSP-70,Upper West Side,#B0A89C,Benjamin Moore,Color Stories
CSP-75,Castle Gate,#918A81,Benjamin Moore,Color Stories
CSP-80,Gothic Arch,#9E978D,Benjamin Moore,Color Stories
CSP-85,Tweed Coat,#88837A,Benjamin Moore,Color Stories
CSP-90,Coachman's Cape®,#6B645E,Benjamin Moore,Color Stories
CSP-95,Sea Salt,#D5D0C4,Benjamin Moore,Color Stories
CSP-100,Cosmopolitan,#BCB7AA,Benjamin Moore,Color Stories
CSP-105,Smoke & Mirrors,#B2AEA3,Benjamin Moore,Color Stories
CSP-110,Vintage Pewter,#A19F98,Benjamin Moore,Color Stories
CSP-115,Barnwood,#837F79,Benjamin Moore,Color Stories
CSP-120,Burnt Ember,#6B6A68,Benjamin Moore,Color Stories
CSP-125,Ally's Earring,#E2E1D2,Benjamin Moore,Color Stories
CSP-130,Doily,#CBC8B5,Benjamin Moore,Color Stories
CSP-135,Worn Leather Shoes,#978D77,Benjamin Moore,Color Stories
CSP-140,Chateau,#ABA494,Benjamin Moore,Color Stories
CSP-145,Smoked Truffle,#8F8A7D,Benjamin Moore,Color Stories
CSP-150,Windy City,#736F68,Benjamin Moore,Color Stories
CSP-155,Skipping Stone,#D6D0C0,Benjamin Moore,Color Stories
CSP-160,Urban Sophisticate,#BDB6A2,Benjamin Moore,Color Stories
CSP-165,Downtown,#A49B89,Benjamin Moore,Color Stories
CSP-170,Greenwich Gate,#C6BFAE,Benjamin Moore,Color Stories
CSP-175,Kid Gloves,#B3AC9A,Benjamin Moore,Color Stories
CSP-180,River Silt,#837C6E,Benjamin Moore,Color Stories
CSP-185,Plaster of Paris®,#E6E1D1,Benjamin Moore,Color Stories
CSP-190,Rocky Beach,#B2A692,Benjamin Moore,Color Stories
CSP-195,Porcini,#877B6E,Benjamin Moore,Color Stories
CSP-200,Quicksand,#AFA598,Benjamin Moore,Color Stories
CSP-205,Cathedral Gray,#948B7D,Benjamin Moore,Color Stories
CSP-210,Café Doppio,#54483B,Benjamin Moore,Color Stories
CSP-215,Cake Batter,#E9E1CF,Benjamin Moore,Color Stories
CSP-220,Lace Handkerchief,#D6CCB9,Benjamin Moore,Color Stories
CSP-225,Gallery Buff,#C0B6A4,Benjamin Moore,Color Stories
CSP-230,Quietude,#B6A391,Benjamin Moore,Color Stories
