colorCode,colorName,hexCode
2000-70,Voile Pink,#fde3e7
2000-60,Light Chiffon Pink,#ffced9
2000-50,Blush Tone,#feadbe
2000-40,Strawberry Shortcake,#f68095
2000-30,Red Tulip,#e14d5c
2000-20,Tricycle Red,#d43b42
2000-10,Red,#ca2f2f
2001-70,Marshmallow Bunny,#ffe3e8
2001-60,Country Pink,#ffced9
2001-50,Full Bloom,#ffadbe
2001-40,Pink Popsicle,#f67f93
2001-30,Spring Tulips,#e24c5b
2001-20,Bonfire,#d63a40
2001-10,Ruby Red,#cb2d2d
2002-70,Pink Cadillac,#fee8e9
2002-60,Sweet 16 Pink,#ffd4d9
2002-50,Tickled Pink,#ffb4be
2002-40,Flamingo's Dream,#f98892
2002-30,Rose Quartz,#e75559
2002-20,Bull's Eye Red,#da3f3d
2002-10,Vermilion,#d0322c
2003-70,Pleasing Pink,#fee3e7
2003-60,Exotic Pink,#ffced7
2003-50,Coral Pink,#faacbb
2003-40,True Pink,#ee7f8f
2003-30,Berry Wine,#d54d58
2003-20,Strawberry Red,#c43e3e
2003-10,Million Dollar Red,#b6342d
2004-70,Romantic Pink,#fde4e8
2004-60,Pink Parfait,#fdcdd7
2004-50,Baby Girl,#f6adbd
2004-40,Pink Starburst,#e58091
2004-30,Raspberry Pudding,#cb505b
2004-20,Chili Pepper,#b24141
2004-10,Deep Rose,#a13830
2005-70,Wispy Pink,#f8e5e5
2005-60,Pink Pearl,#f1ced2
2005-50,Pink Eraser,#e2aeb4
2005-40,Genuine Pink,#c88187
2005-30,Bricktone Red,#9d5352
2005-20,Hot Apple Spice,#8b463f
2005-10,Red Rock,#7d3f33
2006-70,Pink Fairy,#fbe1e1
2006-60,Authentic Pink,#f7c9cb
2006-50,Pink Punch,#eba7aa
2006-40,Glamour Pink,#d47979
2006-30,Rosy Apple,#b24d46
2006-20,Sangria,#a64438
2006-10,Merlot Red,#9e3e2e
2007-70,Angel Pink,#fde2e4
2007-60,Pastel Pink,#fbccd1
2007-50,Supple Pink,#f3abb4
2007-40,Coral Essence,#df7d84
2007-30,Rhubarb,#bf4f4f
2007-20,Shy Cherry,#af4239
2007-10,Smouldering Red,#a43b2e
2008-70,Touch of Pink,#fee9e7
2008-60,Little Piggy,#ffd7d6
2008-50,Delicate Rose,#fcbaba
2008-40,Hydrangea Flowers,#f1918e
2008-30,Raspberry Blush,#d86057
2008-20,Claret Rose,#ca5044
2008-10,Ravishing Red,#be4739
2009-70,Powder Pink,#fee8e5
2009-60,Pink Sea Shell,#ffd5d4
2009-50,Fashion Pink,#ffb7b7
2009-40,Pink Peach,#f98b88
2009-30,Dark Salmon,#e85b51
2009-20,Salsa,#dd483a
2009-10,Redstone,#d43c2c
2010-70,Frosty Pink,#feeae4
2010-60,Rose Petal,#ffd8d2
2010-50,Dawn Pink,#ffbab4
2010-40,Coral Gables,#fa9084
2010-30,Starburst Orange,#ea604e
2010-20,Warm Comfort,#e04d38
2010-10,Tomato Red,#d8412c
2011-70,Light Quartz,#feebe7
2011-60,Springy Peach,#ffdad5
2011-50,Mixed Fruit,#ffbfb9
2011-40,Old World,#fe998f
2011-30,Hot Spice,#f16551
2011-20,Blazing Orange,#e8523c
2011-10,Orange,#e1422c
2012-70,Soft Pink,#feece6
2012-60,Creamy Peach,#ffdcd5
2012-50,Perky Peach,#ffc1b8
2012-40,Summer Sun Pink,#ff9a8a
2012-30,Tangerine Dream,#f26851
2012-20,Flame,#e85237
2012-10,Tawny Day Lily,#e14328
2013-70,Bridal Pink,#feeee6
2013-60,Pink Harmony,#ffdfd4
2013-50,Salmon Peach,#ffc6b6
2013-40,Dusk Pink,#ff9f85
2013-30,Jewelled Peach,#f5704c
2013-20,Orange Nectar,#eb5a34
2013-10,Outrageous Orange,#e44d29
2014-70,Ecru,#fef0e3
2014-60,Whispering Peach,#ffe2d0
2014-50,Springtime Peach,#ffcbb1
2014-40,Peachy Keen,#ffa77f
2014-30,Tangy Orange,#f87a47
2014-20,Rumba Orange,#f06631
2014-10,Festive Orange,#ea5924
2015-70,Apricot Ice,#fdf3e2
2015-60,Gerbera Daisy,#ffe8cc
2015-50,Funky Fruit,#ffd5ab
2015-40,Peach Sorbet,#ffb678
2015-30,Calypso Orange,#fc8c3d
2015-20,Orange Burst,#f67d29
2015-10,Electric Orange,#f1711b
2016-70,Cancun Sand,#fdf4df
2016-60,Creamy Beige,#ffebca
2016-50,Melon Popsicle,#ffd9a7
2016-40,Marmalade,#ffbb72
2016-30,Carrot Stick,#fd9638
2016-20,Citrus Orange,#f88624
2016-10,Startling Orange,#f57d1c
2017-70,White Vanilla,#fdf5df
2017-60,Pale Daffodil,#ffedc8
2017-50,Yellow Haze,#ffdea7
2017-40,Sweet Orange,#ffc470
2017-30,Tangelo,#ffa235
2017-20,Sharp Cheddar,#fd941f
2017-10,Orange Juice,#fa8b0d
2018-70,Milkyway,#fcf7de
2018-60,Lighthouse,#fff1c7
2018-50,Morning Sunshine,#ffe5a2
2018-40,Nacho Cheese,#ffd06c
2018-30,Citrus Blast,#ffb32a
2018-20,Mandarin Orange,#ffa807
2018-10,Orange Sky,#ffa001
2019-70,Lightning White,#fcf7dc
2019-60,Lemon Sorbet,#fff3c4
2019-50,Lemon Drops,#ffe9a0
2019-40,American Cheese,#ffd867
2019-30,Sunflower,#ffc31c
2019-20,Golden Nugget,#ffb801
2019-10,Mardi Gras Gold,#ffb001
2020-70,Yellow Freeze,#fcf8de
2020-60,Moonlight,#fff4c5
2020-50,Mellow Yellow,#ffeaa0
2020-40,Yellow Rain Coat,#ffd968
2020-30,Sparkling Sun,#ffc41f
2020-20,Lemon Shine,#ffb701
2020-10,Bumble Bee Yellow,#ffb101
2021-70,Pale Straw,#fcf8dc
2021-60,Provence Crème,#fff5c4
2021-50,Yellow Lotus,#ffed9f
2021-40,Yellow Highlighter,#ffdf65
2021-30,Sunshine,#ffcf0c
2021-20,Lemon,#ffc501
2021-10,Yellow Flash,#ffbe01
2022-70,Crème Brulee,#fbf8dd
2022-60,Light Yellow,#fef6c5
2022-50,Sundance,#fff2a0
2022-40,Banana Yellow,#ffe866
2022-30,Bright Yellow,#ffdc01
2022-20,Sun Kissed Yellow,#ffd701
2022-10,Yellow,#ffd501
2023-70,Crème Fraiche,#fcf9de
2023-60,Butter,#fdf6c5
2023-50,Lemon Meringue,#fff1a2
2023-40,Sunburst,#fbe567
2023-30,Sun Porch,#f9d70b
2023-20,Baby Chick,#f1ce01
2023-10,Yolk,#edca01
2024-70,Lemon Ice,#fbf9e1
2024-60,Lemonade,#fbf5c9
2024-50,Jasper Yellow,#f7edaa
2024-40,Yellow Finch,#eddd72
2024-30,Citron,#d8c62f
2024-20,Eve Green,#cdbc0f
