Color Name,Hex Value,Color Code
Super White,#F1F2EE,PM-1
White,#EDEEEB,PM-2
Decorator's White,#EBEDEA,PM-3
Brilliant White,#EBEEE9,PM-4
Cliffside Gray,#CCD0CA,PM-5
Hamilton Blue,#5F767F,PM-6
Platinum Gray,#A8A9A3,PM-7
Charcoal Slate,#646769,PM-8
Black,#323233,PM-9
Chrome Green,#0B412E,PM-10
Essex Green,#27362E,PM-11
Black Forest Green,#242E2C,PM-12
Atrium White,#F2EFE8,PM-13
Annapolis Gray,#C9BEAF,PM-14
Cottage Red,#662A25,PM-15
Country Redwood,#762C23,PM-16
Classic Burgundy,#69181A,PM-17
Heritage Red,#990A14,PM-18
White Dove,#F0EFE6,PM-19
China White,#E7E4D9,PM-20
Sail Cloth,#E4DECE,PM-21
Antique White,#F3E6D4,PM-22
Charleston Brown,#745239,PM-23
Tudor Brown,#4F3A30,PM-24
