color_code,color_name,hex_code,manufacturer,deck
PM-1,Super White,#F1F2EE,Benjamin Moore,Premium Mix
PM-2,White,#EDEEEB,Benjamin Moore,Premium Mix
PM-3,Decorator's White,#EBEDEA,Benjamin Moore,Premium Mix
PM-4,Brilliant White,#EBEEE9,Benjamin Moore,Premium Mix
PM-5,Cliffside Gray,#CCD0CA,Benjamin Moore,Premium Mix
PM-6,Hamilton Blue,#5F767F,Benjamin Moore,Premium Mix
PM-7,Platinum Gray,#A8A9A3,Benjamin Moore,Premium Mix
PM-8,Charcoal Slate,#646769,Benjamin Moore,Premium Mix
PM-9,Black,#323233,Benjamin Moore,Premium Mix
PM-10,Chrome Green,#0B412E,Benjamin Moore,Premium Mix
PM-11,Essex Green,#27362E,Benjamin Moore,Premium Mix
PM-12,Black Forest Green,#242E2C,Benjamin Moore,Premium Mix
PM-13,Atrium White,#F2EFE8,Benjamin Moore,Premium Mix
PM-14,Annapolis Gray,#C9BEAF,Benjamin Moore,Premium Mix
PM-15,Cottage Red,#662A25,Benjamin Moore,Premium Mix
PM-16,Country Redwood,#762C23,Benjamin Moore,Premium Mix
PM-17,Classic Burgundy,#69181A,Benjamin Moore,Premium Mix
PM-18,Heritage Red,#990A14,Benjamin Moore,Premium Mix
PM-19,White Dove,#F0EFE6,Benjamin Moore,Premium Mix
PM-20,China White,#E7E4D9,Benjamin Moore,Premium Mix
PM-21,Sail Cloth,#E4DECE,Benjamin Moore,Premium Mix
PM-22,Antique White,#F3E6D4,Benjamin Moore,Premium Mix
PM-23,Charleston Brown,#745239,Benjamin Moore,Premium Mix
PM-24,Tudor Brown,#4F3A30,Benjamin Moore,Premium Mix
PM-25,Cameo White,#F3E8D0,Benjamin Moore,Premium Mix
PM-26,Montgomery White,#F5E3C1,Benjamin Moore,Premium Mix
PM-27,Richmond Bisque,#D9C6A6,Benjamin Moore,Premium Mix
PM-28,Linen White,#F3ECDB,Benjamin Moore,Premium Mix
PM-29,Navajo White,#EFE8D6,Benjamin Moore,Premium Mix
PM-30,Bone White,#E7DECA,Benjamin Moore,Premium Mix
PM-31,Lancaster White,#e6e1cc,Benjamin Moore,Premium Mix
PM-32,Briarwood,#A09889,Benjamin Moore,Premium Mix
