code,name,r,g,b,hex
CW-5,Harwood Putty,238,240,232,#EEF0E8
CW-10,Capitol White,246,243,230,#F6F3E6
CW-15,Parish White,239,236,217,#EFECD9
CW-20,Geddy White,233,228,204,#E9E4CC
CW-25,Williamsburg Stone,211,200,169,#D3C8A9
CW-30,Market Square Shell,198,189,163,#C6BDA3
CW-35,Palace Tan,158,145,115,#9E9173
CW-40,Tavern Gray,146,139,118,#928B76
CW-45,York Gray,211,204,186,#D3CCBA
CW-50,Tyler Gray,198,191,174,#C6BFAE
CW-55,Finnie Gray,181,173,154,#B5AD9A
CW-60,Cole Stone,163,153,135,#A39987
CW-65,Gunsmith Gray,134,132,117,#868475
CW-70,Pelham Gray,133,123,104,#857B68
CW-75,Randolph Stone,133,126,112,#857E70
CW-80,Carter Gray,131,125,112,#837D70
CW-85,Randolph Gray,89,89,79,#59594F
CW-90,Tavern Charcoal,83,80,69,#535045
CW-95,Lime White,235,228,211,#EBE4D3
CW-100,Prentis Cream,233,226,205,#E9E2CD
CW-105,Bracken Cream,235,225,197,#EBE1C5
CW-110,Calcite,248,236,206,#F8ECCE
CW-115,Cornice Tan,227,212,180,#E3D4B4
CW-120,Bracken Biscuit,214,196,163,#D6C4A3
CW-125,Brush Beige,185,164,136,#B9A488
CW-130,Coffeehouse Tan,182,161,132,#B6A184
CW-135,Raleigh Sorrel,143,118,90,#8F765A
CW-140,Timson Sand,217,206,186,#D9CEBA
CW-145,Brick House Tan,201,189,168,#C9BDA8
CW-150,Everard Coffee,139,123,103,#8B7B67
CW-155,Revolutionary Storm,146,134,121,#928679
CW-160,Dixon Brown,106,91,77,#6A5B4D
CW-165,Coffeehouse Chocolate,81,57,46,#51392E
CW-170,Tarpley Brown,74,57,49,#4A3931
CW-175,Tucker Chocolate,75,65,63,#4B413F
CW-180,Bucktrout Brown,54,46,44,#362E2C
CW-185,Randolph Bisque,235,215,185,#EBD7B9
CW-190,Raleigh Tan,205,176,147,#CDB093
CW-195,Chowning's Tan,168,135,105,#A88769
CW-200,Franklin White,242,232,213,#F2E8D5
CW-205,Raleigh Peach,232,205,185,#E8CDB9
CW-210,Galt Peach,207,166,138,#CFA68A
CW-215,Custis Salmon,223,157,142,#DF9D8E
CW-220,Lightfoot Salmon,198,143,122,#C68F7A
CW-225,Wythe Rose,193,143,128,#C18F80
CW-230,Carter Red,193,113,97,#C17161
CW-235,Brickyard Clay,166,102,90,#A6665A
CW-240,Walnut,145,102,89,#916659
CW-245,St. George Red,144,82,77,#90524D
CW-250,Carriage Red,114,50,41,#723229
CW-255,Palace Arms Red,121,61,55,#793D37
CW-260,Reid Brown,112,70,58,#70463A
CW-265,Charlton Brown,106,62,46,#6A3E2E
CW-270,Nicolson Red,101,66,62,#65423E
CW-275,Ludwell White,249,234,200,#F9EAC8
CW-280,Moir Gold,243,206,144,#F3CE90
CW-285,Gamboge,231,179,114,#E7B372
CW-290,English Ochre,190,126,73,#BE7E49
CW-295,Hale Orange,201,114,73,#C97249
CW-300,Tucker Orange,224,117,94,#E0755E
CW-305,Claret,205,117,106,#CD756A
CW-310,China Red,176,93,75,#B05D4B
CW-315,Cornwallis Red,190,71,57,#BE4739
CW-320,Dragons Blood,172,73,49,#AC4931
CW-325,Brickyard Red,153,90,74,#995A4A
CW-330,Cochineal Red,159,64,50,#9F4032
CW-335,King's Red,167,69,62,#A7453E
CW-340,Greenhow Vermillion,174,68,64,#AE4440
CW-345,Travers Red,160,70,83,#A04653
CW-350,Barrett Brick,141,81,90,#8D515A
CW-355,Carter Plum,116,69,81,#744551
CW-360,Powell Smokehouse,143,128,122,#8F807A
CW-365,Byrd Beige,229,203,160,#E5CBA0
CW-370,Sweeney Yellow,226,197,146,#E2C592
CW-375,Tavern Ochre,215,175,116,#D7AF74
CW-380,Massicot,200,150,86,#C89656
CW-385,Coffeehouse Ochre,195,156,100,#C39C64
CW-390,Bryan Ochre,179,139,90,#B38B5A
CW-395,Governor's Gold,240,214,151,#F0D697
CW-400,Damask Yellow,233,206,132,#E9CE84
CW-405,Damask Gold,222,182,89,#DEB659
CW-410,Chamber Yellow,240,230,187,#F0E6BB
CW-415,Wythe Tan,224,207,158,#E0CF9E
CW-420,Wythe Gold,213,189,128,#D5BD80
CW-425,Palace Ochre,188,154,82,#BC9A52
CW-430,Scrivener Gold,184,160,110,#B8A06E
CW-435,Everard Gold,174,150,104,#AE9668
CW-440,Gloucester Green,219,213,179,#DBD5B3
CW-445,Burwell Green,194,185,141,#C2B98D
CW-450,Greenhow Moss,167,166,109,#A7A66D
CW-455,Green Earth,232,230,190,#E8E6BE
CW-460,Green Umber,212,208,144,#D4D090
CW-465,Parrot Green,179,179,107,#B3B36B
CW-470,Timson Green,111,117,59,#6F753B
CW-475,Palmer Green,96,94,58,#605E3A
CW-480,Bassett Hall Green,168,168,136,#A8A888
CW-485,Burgess Green,187,190,154,#BBBE9A
CW-490,Levingston Green,201,205,174,#C9CDAE
CW-495,Russell Green,163,172,136,#A3AC88
CW-500,Nicolson Green,118,129,107,#76816B
CW-505,Windsor Green,73,80,51,#495033
CW-510,Waller Green,55,59,51,#373B33
CW-515,Sea Green,164,183,147,#A4B793
CW-520,Palace Green,119,141,111,#778D6F
CW-525,Raleigh Green,90,127,96,#5A7F60
CW-530,Colonial Verdigris,63,80,52,#3F5034
CW-535,Buffett Green,39,94,66,#275E42
CW-540,Dunmore Green,81,154,111,#519A6F
CW-545,Spotswood Teal,111,149,135,#6F9587
CW-550,Geddy Verdigris,47,140,127,#2F8C7F
CW-555,Goodwin Green,68,89,82,#445952
CW-560,Galt Blue,191,215,206,#BFD7CE
CW-565,Anderson Blue,151,192,185,#97C0B9
CW-570,Mayo Teal,86,136,136,#568888
CW-575,Everard Blue,62,85,90,#3E555A
CW-580,Wetherburn's Blue,112,133,135,#708587
CW-585,Ewing Blue,209,227,225,#D1E3E1
CW-590,Williamsburg Wythe Bl...,127,159,161,#7F9FA1
CW-595,Chesapeake Blue,149,193,199,#95C1C7
CW-600,Bracken Blue,106,163,172,#6AA3AC
CW-605,Palace Blue,94,160,183,#5EA0B7
CW-610,Lafayette Blue,109,167,197,#6DA7C5
CW-615,Randolph Blue,61,131,160,#3D83A0
CW-620,Finley Blue,70,129,169,#4681A9
CW-625,Prussian Blue,51,91,126,#335B7E
CW-630,Washington Blue,49,71,87,#314757
CW-635,Nelson Blue,207,215,209,#CFD7D1
CW-640,Pearl,168,177,170,#A8B1AA
CW-645,Apollo Blue,119,133,132,#778584
CW-650,Palace Pearl,199,209,211,#C7D1D3
CW-655,Greenhow Blue,173,200,213,#ADC8D5
CW-660,Chiswell Blue,130,147,156,#82939C
CW-665,Powell Gray,91,102,109,#5B666D
CW-670,Azurite,82,125,143,#527D8F
CW-675,Brush Blue,66,80,88,#425058
CW-680,Mopboard Black,56,57,58,#38393A
CW-685,Ambler Slate,88,90,91,#585A5B
CW-690,Bracken Slate,95,100,100,#5F6464
CW-695,Lampblack,127,130,130,#7F8282
CW-700,Slate,164,169,169,#A4A9A9
CW-705,Tucker Gray,145,151,153,#919799
CW-710,Bruton White,214,210,200,#D6D2C8
CW-715,Bone Black,186,185,175,#BAB9AF
CW-720,Geddy Gray,128,129,123,#80817B
