color_code,color_name,hex_code,manufacturer,deck
CW-5,Harwood Putty,#EEF0E8,Benjamin Moore,Williamsburg
CW-10,Capitol White,#F6F3E6,Benjamin Moore,Williamsburg
CW-15,Parish White,#EFECD9,Benjamin Moore,Williamsburg
CW-20,Geddy White,#E9E4CC,Benjamin Moore,Williamsburg
CW-25,Williamsburg Stone,#D3C8A9,Benjamin Moore,Williamsburg
CW-30,Market Square Shell,#C6BDA3,Benjamin Moore,Williamsburg
CW-35,Palace Tan,#9E9173,Benjamin Moore,Williamsburg
CW-40,Tavern Gray,#928B76,Benjamin Moore,Williamsburg
CW-45,York Gray,#D3CCBA,Benjamin Moore,Williamsburg
CW-50,Tyler Gray,#C6BFAE,Benjamin Moore,Williamsburg
CW-55,Finnie Gray,#B5AD9A,Benjamin Moore,Williamsburg
CW-60,Cole Stone,#A39987,Benjamin Moore,Williamsburg
CW-65,Gunsmith Gray,#868475,Benjamin Moore,Williamsburg
CW-70,Pelham Gray,#857B68,Benjamin Moore,Williamsburg
CW-75,Randolph Stone,#857E70,Benjamin Moore,Williamsburg
CW-80,Carter Gray,#837D70,Benjamin Moore,Williamsburg
CW-85,Randolph Gray,#59594F,Benjamin Moore,Williamsburg
CW-90,Tavern Charcoal,#535045,Benjamin Moore,Williamsburg
CW-95,Lime White,#EBE4D3,Benjamin Moore,Williamsburg
CW-100,Prentis Cream,#E9E2CD,Benjamin Moore,Williamsburg
CW-105,Bracken Cream,#EBE1C5,Benjamin Moore,Williamsburg
CW-110,Calcite,#F8ECCE,Benjamin Moore,Williamsburg
CW-115,Cornice Tan,#E3D4B4,Benjamin Moore,Williamsburg
CW-120,Bracken Biscuit,#D6C4A3,Benjamin Moore,Williamsburg
CW-125,Brush Beige,#B9A488,Benjamin Moore,Williamsburg
CW-130,Coffeehouse Tan,#B6A184,Benjamin Moore,Williamsburg
CW-135,Raleigh Sorrel,#8F765A,Benjamin Moore,Williamsburg
CW-140,Timson Sand,#D9CEBA,Benjamin Moore,Williamsburg
CW-145,Brick House Tan,#C9BDA8,Benjamin Moore,Williamsburg
CW-150,Everard Coffee,#8B7B67,Benjamin Moore,Williamsburg
CW-155,Revolutionary Storm,#928679,Benjamin Moore,Williamsburg
CW-160,Dixon Brown,#6A5B4D,Benjamin Moore,Williamsburg
CW-165,Coffeehouse Chocolate,#51392E,Benjamin Moore,Williamsburg
