None,Name,Color Code,Company Name
,Hint of Vanilla,1,Cloverdale
,Elusive White,2,Cloverdale
,Nilla Vanilla,3,Cloverdale
,Child of Heaven,4,Cloverdale
,Kiara,5,Cloverdale
,Little Dove,6,Cloverdale
,Cotton Ball,7,Cloverdale
,Casa Blanca,8,Cloverdale
,Chapel Wall,9,Cloverdale
,Petticoat,10,Cloverdale
,Sugar Dust,11,Cloverdale
,Bunny Cake,12,Cloverdale
,Sphere,13,Cloverdale
,Twill,14,Cloverdale
,White Glove,15,Cloverdale
,Pumice Stone,16,Cloverdale
,Luna Moon,17,Cloverdale
,Dove White,18,Cloverdale
,Mystic Fog,19,Cloverdale
,Bonaire,20,Cloverdale
,Barely White,21,Cloverdale
,White Kitten,22,Cloverdale
,Shell Tint,23,Cloverdale
,Just About White,24,Cloverdale
,Prismatic Pearl,25,Cloverdale
,Moon Drop,26,Cloverdale
,White Fence,27,Cloverdale
,Bannister White,28,Cloverdale
,Cherish is the Word,29,Cloverdale
,Lady Nicole,30,Cloverdale
,Italian Ice,31,Cloverdale
,Ice Dream,32,Cloverdale
,Chafed Wheat,33,Cloverdale
,Here Comes the Sun,34,Cloverdale
,Weekend Retreat,35,Cloverdale
,Fortune's Prize,36,Cloverdale
,Money Tree,37,Cloverdale
,Autumn's Hill,38,Cloverdale
,Mandalay Road,39,Cloverdale
,Antique Candle Light,40,Cloverdale
,Chinese Cherry,41,Cloverdale
,Antoinette Pink,42,Cloverdale
,Angel Breath,43,Cloverdale
,Calliope,44,Cloverdale
,Sizzling Hot,45,Cloverdale
,Valentino,46,Cloverdale
,Sand Island,47,Cloverdale
,Embrace,48,Cloverdale
,Auburn Wave,49,Cloverdale
,Simmering Ridge,50,Cloverdale
,Caramel Candy,51,Cloverdale
,Spiced Carrot,52,Cloverdale
,Remaining Embers,53,Cloverdale
,Wink Pink,54,Cloverdale
,Strawberry Whip,55,Cloverdale
,Dainty Debutante,56,Cloverdale
,Marble Pink,57,Cloverdale
,Angelic Choir,58,Cloverdale
,Quintessential,59,Cloverdale
,Parlor Rose,60,Cloverdale
,Pinkathon,61,Cloverdale
,Blooming Perfect,62,Cloverdale
,Impatient Heart,63,Cloverdale
,Lord Baltimore,64,Cloverdale
,Poppy Prose,65,Cloverdale
,Wild Rose,66,Cloverdale
,Lover's Kiss,67,Cloverdale
,Summer Blush,68,Cloverdale
,Empire Rose,69,Cloverdale
,O Fortuna,70,Cloverdale
,Ruby Eye,71,Cloverdale
,Notice Me,72,Cloverdale
,Corazon,73,Cloverdale
,Emperor's Robe,74,Cloverdale
,Pink Duet,75,Cloverdale
,Fantastic Pink,76,Cloverdale
,Pink Softness,77,Cloverdale
,Be Mine,78,Cloverdale
,Prophetess,79,Cloverdale
,Abra Cadabra,80,Cloverdale
,Berry Crush,81,Cloverdale
,Rose Shadow,82,Cloverdale
,Pink Coral,83,Cloverdale
,Quiet Pink,84,Cloverdale
,Fragrant Satchel,85,Cloverdale
,King's Cloak,86,Cloverdale
,Cinnapink,87,Cloverdale
,Casandra ,88,Cloverdale
,Star of Morning,89,Cloverdale
,Moon Goddess,90,Cloverdale
,Garnet Shadow,91,Cloverdale
,Fresh Day,92,Cloverdale
,Herald of Spring,93,Cloverdale
,Starlet,94,Cloverdale
,Queen's Rose,95,Cloverdale
,Morning Side,96,Cloverdale
,Odyssey Plum,97,Cloverdale
,Lockhart,98,Cloverdale
,Lover's Tryst,99,Cloverdale
,Whimsy,100,Cloverdale
,Fruitful Orchard,101,Cloverdale
,Earthly Pleasure,102,Cloverdale
,Hosanna,103,Cloverdale
,Victorian Cottage,104,Cloverdale
,Harvest Blessing,105,Cloverdale
,Rare Find,106,Cloverdale
,Prosperity,107,Cloverdale
,Exotica,108,Cloverdale
,Kung Fu,109,Cloverdale
,Baby Bunting,110,Cloverdale
,Acadia Bloom,111,Cloverdale
,Lady Flower,112,Cloverdale
,Punch of Pink,113,Cloverdale
,Montrose Rose,114,Cloverdale
,Sophistication,115,Cloverdale
,Cordova Burgundy,116,Cloverdale
,Satin Slipper,117,Cloverdale
,Miniature Posey,118,Cloverdale
,Angela Canyon,119,Cloverdale
,Summer's Eve,120,Cloverdale
,Savanna,121,Cloverdale
,Outrageous,122,Cloverdale
,Monterey Chestnut,123,Cloverdale
,Merlins Beard,124,Cloverdale
,Pout,125,Cloverdale
,Sauterne,126,Cloverdale
,Andes Ash,127,Cloverdale
,Rocky Mountain,128,Cloverdale
,Arrowhead,129,Cloverdale
,Evolution,130,Cloverdale
,Cliffswallow,131,Cloverdale
,Summer Beige,132,Cloverdale
,Natchez,133,Cloverdale
,Baby Sprout,134,Cloverdale
,Emerging Leaf,135,Cloverdale
,Amazon Mist,136,Cloverdale
,Hideaway,137,Cloverdale
,Coconut Macaroon,138,Cloverdale
,Souffl?,139,Cloverdale
,Cozy Cover,140,Cloverdale
,Bush Buck,141,Cloverdale
,Ranch House,142,Cloverdale
,Connoisseur,143,Cloverdale
,Film Noir,144,Cloverdale
,Flax Flower,145,Cloverdale
,Truffles,146,Cloverdale
,Cave Painting,147,Cloverdale
,Oak Plank,148,Cloverdale
,Pavilion Tan,149,Cloverdale
,Temptation,150,Cloverdale
,Coffee Shop,151,Cloverdale
,Flirt,152,Cloverdale
,Take-Out,153,Cloverdale
,Romulus ,154,Cloverdale
,Cowhide,155,Cloverdale
,Skinny Dip,156,Cloverdale
,Dodge Pole,157,Cloverdale
,Mover and Shaker,158,Cloverdale
,Senior Moment,159,Cloverdale
,Kingdom's Keys,160,Cloverdale
,Tiny Calf,161,Cloverdale
,Apple Pie,162,Cloverdale
,Camel Train,163,Cloverdale
,Veldrift,164,Cloverdale
,Cavern Sand,165,Cloverdale
,Pastel Day,166,Cloverdale
,First Date,167,Cloverdale
,Candle Light,168,Cloverdale
,Fossil Tan,169,Cloverdale
,Blonde Shell,170,Cloverdale
,Golden Glove,171,Cloverdale
,Chasm,172,Cloverdale
,Pale Gingersnap,173,Cloverdale
,Maple Pecan,174,Cloverdale
,3am Latte,175,Cloverdale
,Country Dweller,176,Cloverdale
,Weaver's Tool,177,Cloverdale
,Cupcake,178,Cloverdale
,Fall in Season,179,Cloverdale
,Fresh Linen,180,Cloverdale
,Ageless,181,Cloverdale
,Ivory Ridge,182,Cloverdale
,Moth Wing,183,Cloverdale
,Macadamia Brown,184,Cloverdale
,Noble Crown,185,Cloverdale
,Christmas Ornament,186,Cloverdale
,White Lightning ,187,Cloverdale
,Baguette,188,Cloverdale
