Name,ID,L,a,b,LRV,R,G,B,,,
Hint of Vanilla,1,92.2782,0.665483,6.77195,0.813297,0.934965,0.910154,0.862147,238.416075,232.089270,219.847485
Elusive White,2,90.4549,-0.080527,7.03933,0.7729,0.909487,0.891616,0.839881,231.919185,227.362080,214.169655
Nilla Vanilla,3,93.3753,0.682821,6.14094,0.838269,0.945935,0.922484,0.879059,241.213425,235.233420,224.160045
Child of Heaven,4,93.4116,0.444049,6.3823,0.839105,0.945093,0.92344,0.877595,240.998715,235.47720,223.786725
Kiara,5,93.7637,1.20144,8.87057,0.847231,0.960652,0.925096,0.86285,244.966260,235.899480,220.02675
Little Dove,6,89.7251,1.61293,10.0875,0.757113,0.921015,0.878857,0.809365,234.858825,224.108535,206.388075
Cotton Ball,7,94.4906,0.16998,8.94007,0.864176,0.961186,0.935789,0.870165,245.102430,238.626195,221.892075
Casa Blanca,8,93.6551,0.346158,10.8812,0.84472,0.957515,0.925671,0.846273,244.166325,236.046105,215.799615
Chapel Wall,9,93.1707,0.784772,10.5547,0.833574,0.954623,0.919216,0.843493,243.428865,234.400080,215.090715
Petticoat,10,91.2105,0.970903,12.2327,0.789474,0.937616,0.896611,0.809359,239.092080,228.635805,206.386545
Sugar Dust,11,96.8558,-0.404607,4.75979,0.92087,0.973435,0.964538,0.928135,248.225925,245.957190,236.674425
Bunny Cake,12,94.775,0.426444,7.26431,0.870867,0.962431,0.938627,0.886064,245.419905,239.349885,225.946320
Sphere,13,92.3075,0.049072,14.8847,0.813957,0.948789,0.910704,0.80114,241.941195,232.229520,204.29070
Twill,14,92.2053,0.355419,11.0699,0.811656,0.941656,0.909403,0.828898,240.122280,231.897765,211.368990
White Glove,15,96.1741,-0.411941,8.54678,0.904283,0.974847,0.956227,0.891728,248.585985,243.837885,227.390640
Pumice Stone,16,95.1354,0.036585,9.48787,0.879394,0.968726,0.943273,0.873133,247.025130,240.534615,222.648915
Luna Moon,17,92.5401,-0.299859,4.31308,0.819212,0.924547,0.915864,0.883376,235.759485,233.545320,225.260880
Dove White,18,89.9706,0.048017,5.57168,0.7624,0.901568,0.886162,0.845571,229.899840,225.971310,215.620605
Mystic Fog,19,92.3642,-0.934857,4.07518,0.815237,0.917063,0.915487,0.883094,233.851065,233.449185,225.188970
Bonaire,20,89.9328,0.015162,5.83704,0.761583,0.901531,0.885777,0.843161,229.890405,225.873135,215.006055
Barely White,21,89.8928,-1.36409,2.64546,0.760721,0.882568,0.889215,0.866346,225.054840,226.749825,220.918230
White Kitten,22,88.6888,-0.403197,2.05357,0.735067,0.875165,0.873632,0.857633,223.167075,222.776160,218.696415
Shell Tint,23,94.3314,-2.08731,2.68862,0.860445,0.926515,0.940571,0.915259,236.261325,239.845605,233.391045
Just About White,24,91.7133,-0.960001,3.92541,0.800633,0.909217,0.908301,0.876991,231.850335,231.616755,223.632705
Prismatic Pearl,25,91.9112,-0.740297,5.8146,0.805054,0.917787,0.909657,0.865021,234.035685,231.962535,220.580355
Moon Drop,26,85.6003,1.55543,7.07458,0.67191,0.86785,0.833947,0.786839,221.30175,212.656485,200.643945
White Fence,27,90.7288,-0.176856,6.1264,0.778881,0.909644,0.89505,0.849727,231.959220,228.23775,216.680385
Bannister White,28,89.1633,-1.04122,5.39919,0.745108,0.883822,0.879867,0.837768,225.374610,224.366085,213.630840
Cherish is the Word,29,90.5616,-0.504577,5.23443,0.775225,0.903111,0.894135,0.854508,230.293305,228.004425,217.899540
Lady Nicole,30,85.4502,-1.36982,4.62336,0.668935,0.838362,0.839759,0.802807,213.782310,214.138545,204.715785
Italian Ice,31,89.1755,-0.971845,6.61037,0.745366,0.887407,0.879634,0.82886,226.288785,224.306670,211.35930
Ice Dream,32,92.7795,-1.54001,4.63093,0.824646,0.918386,0.921507,0.883407,234.188430,234.984285,225.268785
Chafed Wheat,33,90.7854,5.67983,11.4416,0.780121,0.965744,0.880182,0.81164,246.264720,224.446410,206.96820
Here Comes the Sun,34,86.0309,9.55481,13.7205,0.680489,0.943905,0.817354,0.74386,240.695775,208.425270,189.68430
Weekend Retreat,35,81.5596,12.0812,16.1716,0.59489,0.915003,0.761623,0.678577,233.325765,194.213865,173.037135
Fortune's Prize,36,73.4178,16.163,18.2807,0.458034,0.853298,0.663203,0.579163,217.590990,169.116765,147.686565
Money Tree,37,65.8861,18.7574,21.5918,0.351768,0.789618,0.576839,0.479856,201.352590,147.093945,122.363280
Autumn's Hill,38,57.7055,23.7117,24.5973,0.256523,0.730643,0.478653,0.3801,186.313965,122.056515,96.9255
Mandalay Road,39,47.5272,25.1107,26.6583,0.16425,0.627419,0.373446,0.271027,159.991845,95.228730,69.111885
Antique Candle Light,40,90.9453,5.41367,7.76422,0.78363,0.957725,0.883239,0.840926,244.219875,225.225945,214.436130
Chinese Cherry,41,88.0325,7.9749,9.33483,0.721329,0.946719,0.844168,0.797808,241.413345,215.262840,203.441040
Antoinette Pink,42,81.4425,12.2919,12.022,0.59275,0.907672,0.760435,0.707821,231.456360,193.910925,180.494355
Angel Breath,43,75.2534,15.3926,14.72,0.486825,0.863337,0.685292,0.623648,220.150935,174.749460,159.030240
Calliope,44,67.7069,16.52,13.6409,0.37576,0.784731,0.603053,0.553797,200.106405,153.778515,141.218235
Sizzling Hot,45,50.4865,22.1475,20.6583,0.18829,0.638214,0.412089,0.338032,162.744570,105.082695,86.198160
Valentino,46,36.8178,23.7441,20.0217,0.0943991,0.499326,0.276534,0.218529,127.328130,70.516170,55.724895
Sand Island,47,86.6134,10.8429,12.3875,0.69221,0.956924,0.820551,0.760317,244.015620,209.240505,193.880835
Embrace,48,78.8865,15.8273,15.8183,0.547317,0.908951,0.722728,0.653816,231.782505,184.295640,166.723080
Auburn Wave,49,71.6666,18.8127,15.5523,0.431647,0.846156,0.637769,0.581324,215.769780,162.631095,148.237620
Simmering Ridge,50,65.8936,20.5683,17.837,0.351865,0.795574,0.572278,0.506867,202.871370,145.930890,129.251085
Caramel Candy,51,54.5717,25.2212,22.3973,0.225174,0.701835,0.442948,0.365729,178.967925,112.951740,93.260895
Spiced Carrot,52,48.757,26.167,24.1874,0.173975,0.64436,0.382375,0.299373,164.31180,97.505625,76.340115
Remaining Embers,53,39.7283,25.2952,23.8848,0.11088,0.541212,0.298427,0.219601,138.009060,76.098885,55.998255
Wink Pink,54,93.1479,4.30106,6.44967,0.833053,0.97145,0.910829,0.874916,247.71975,232.261395,223.103580
Strawberry Whip,55,88.6575,10.9281,9.65389,0.734408,0.975401,0.843242,0.80286,248.727255,215.026710,204.72930
Dainty Debutante,56,81.4554,19.6356,13.2256,0.592985,0.958745,0.740097,0.700773,244.479975,188.724735,178.697115
Marble Pink,57,62.8826,31.0569,18.5479,0.314463,0.823736,0.508942,0.474538,210.052680,129.780210,121.007190
Angelic Choir,58,52.718,32.8014,20.5762,0.207892,0.720261,0.399813,0.362646,183.666555,101.952315,92.474730
Quintessential,59,40.9752,25.4466,17.396,0.118491,0.549777,0.310531,0.272792,140.193135,79.185405,69.561960
Parlor Rose,60,36.5086,32.0456,19.0352,0.0927509,0.535708,0.244661,0.224641,136.605540,62.388555,57.283455
Pinkathon,61,81.201,18.9756,9.08669,0.588353,0.944266,0.739917,0.728118,240.787830,188.678835,185.670090
Blooming Perfect,62,68.7246,25.3926,10.6432,0.389631,0.846079,0.58851,0.587304,215.750145,150.07005,149.762520
Impatient Heart,63,60.1679,27.9725,12.6877,0.283102,0.768114,0.492082,0.487109,195.869070,125.480910,124.212795
Lord Baltimore,64,52.9838,32.1909,16.6085,0.210313,0.715881,0.405172,0.391538,182.549655,103.318860,99.842190
Poppy Prose,65,49.9014,32.0139,17.4769,0.183362,0.681429,0.375018,0.356447,173.764395,95.629590,90.893985
Wild Rose,66,35.9273,39.7258,18.0309,0.0897041,0.564892,0.205819,0.228246,144.047460,52.483845,58.202730
Lover's Kiss,67,36.9823,36.688,17.622,0.0952834,0.561955,0.230375,0.239055,143.298525,58.745625,60.959025
Summer Blush,68,90.6638,7.72345,7.24,0.777458,0.970256,0.874256,0.842218,247.415280,222.935280,214.765590
Empire Rose,69,82.3301,12.3976,6.44084,0.609096,0.9076,0.770685,0.758226,231.4380,196.524675,193.347630
O Fortuna,70,78.474,14.6739,7.28731,0.54021,0.881496,0.722824,0.711151,224.781480,184.320120,181.343505
Ruby Eye,71,70.8947,17.6207,7.86818,0.420345,0.817393,0.634218,0.627683,208.435215,161.725590,160.059165
Notice Me,72,61.2369,20.5557,8.47778,0.295189,0.730289,0.525984,0.525002,186.223695,134.125920,133.875510
Corazon,73,49.3326,22.5662,11.3719,0.178655,0.617184,0.400824,0.388946,157.381920,102.210120,99.181230
Emperor's Robe,74,36.9336,21.4367,14.7939,0.0950213,0.484181,0.285408,0.252022,123.466155,72.779040,64.265610
Pink Duet,75,93.0361,5.37256,3.99807,0.830495,0.972511,0.907273,0.892342,247.990305,231.354615,227.547210
Fantastic Pink,76,83.1898,10.747,3.76997,0.625212,0.900174,0.784858,0.786783,229.544370,200.138790,200.629665
Pink Softness,77,78.2422,14.4439,3.44728,0.536243,0.869791,0.721625,0.736416,221.796705,184.014375,187.786080
Be Mine,78,69.3791,16.9195,3.78982,0.398732,0.788748,0.620981,0.640534,201.130740,158.350155,163.336170
Prophetess,79,63.0234,20.7115,5.7702,0.31615,0.746399,0.544236,0.561798,190.331745,138.780180,143.258490
Abra Cadabra,80,47.1132,22.4077,7.10477,0.161059,0.58696,0.380352,0.395602,149.67480,96.989760,100.878510
Berry Crush,81,33.7768,21.5771,11.85,0.0790144,0.449318,0.256211,0.242392,114.576090,65.333805,61.809960
Rose Shadow,82,88.0894,10.8085,3.96334,0.722513,0.956177,0.838278,0.838931,243.825135,213.760890,213.927405
Pink Coral,83,84.2629,12.8398,3.41718,0.645723,0.926156,0.791039,0.801458,236.169780,201.714945,204.371790
Quiet Pink,84,79.9477,16.1077,3.55293,0.565888,0.900372,0.73539,0.75432,229.594860,187.52445,192.35160
Fragrant Satchel,85,72.0312,21.7286,4.03932,0.437055,0.849461,0.635157,0.667559,216.612555,161.965035,170.227545
King's Cloak,86,62.6878,25.668,3.78992,0.312139,0.76945,0.526485,0.573006,196.20975,134.253675,146.116530
Cinnapink,87,50.2627,28.1402,5.57748,0.186394,0.650304,0.393562,0.437227,165.827520,100.358310,111.492885
Casandra ,88,36.3058,24.762,8.71906,0.0916801,0.488083,0.270027,0.285069,124.461165,68.856885,72.692595
Star of Morning,89,80.3069,18.321,5.53672,0.572266,0.923169,0.732743,0.74422,235.408095,186.849465,189.77610
Moon Goddess,90,73.1789,19.5781,3.38119,0.454372,0.847252,0.653544,0.683926,216.049260,166.653720,174.401130
Garnet Shadow,91,65.4748,22.4578,5.9874,0.346494,0.784445,0.564342,0.585768,200.033475,143.907210,149.370840
Fresh Day,92,54.1683,26.0137,8.47028,0.221335,0.684934,0.438518,0.455843,174.658170,111.822090,116.239965
Herald of Spring,93,49.4069,27.4081,9.99036,0.179265,0.642832,0.38676,0.39984,163.922160,98.62380,101.95920
Starlet,94,39.8427,23.734,8.82207,0.111564,0.519799,0.306465,0.316512,132.548745,78.148575,80.710560
Queen's Rose,95,32.4744,27.101,9.09189,0.0729734,0.460254,0.226487,0.249028,117.364770,57.754185,63.502140
Morning Side,96,91.14,5.7668,3.72295,0.787917,0.953372,0.885192,0.873427,243.109860,225.723960,222.723885
Odyssey Plum,97,81.2497,11.7276,3.01311,0.589237,0.883745,0.761359,0.771465,225.354975,194.146545,196.723575
Lockhart,98,67.0308,14.678,1.20936,0.366727,0.743569,0.603057,0.633696,189.610095,153.779535,161.592480
Lover's Tryst,99,56.0854,17.1619,1.5181,0.239976,0.64255,0.484646,0.51979,163.85025,123.584730,132.54645
Whimsy,100,45.0273,19.1611,5.09644,0.145612,0.544108,0.369977,0.388006,138.747540,94.344135,98.941530
Fruitful Orchard,101,32.8814,27.0835,10.4105,0.0748268,0.465715,0.230111,0.244622,118.757325,58.678305,62.378610
Earthly Pleasure,102,31.0433,19.9843,9.93397,0.0666992,0.411614,0.236398,0.229701,104.961570,60.281490,58.573755
Hosanna,103,78.0739,13.6813,1.68526,0.533375,0.859077,0.722189,0.7472,219.064635,184.158195,190.5360
Victorian Cottage,104,75.0592,15.2077,1.6776,0.483724,0.835979,0.685894,0.715234,213.174645,174.902970,182.384670
Harvest Blessing,105,68.4717,16.5129,0.692617,0.386153,0.770199,0.613176,0.652739,196.400745,156.359880,166.448445
Rare Find,106,57.9114,20.4662,1.14967,0.258678,0.681516,0.493812,0.541341,173.786580,125.922060,138.041955
Prosperity,107,46.0983,21.66,5.2007,0.153414,0.569411,0.373058,0.39808,145.199805,95.129790,101.51040
Exotica,108,35.5075,25.7517,3.94353,0.0875462,0.479174,0.260139,0.30745,122.189370,66.335445,78.39975
Kung Fu,109,30.0239,19.3119,3.695,0.0624563,0.390814,0.230142,0.258139,99.657570,58.686210,65.825445
Baby Bunting,110,84.1808,13.6567,2.77027,0.644138,0.929561,0.788059,0.805474,237.038055,200.955045,205.395870
Acadia Bloom,111,78.8498,17.7733,2.98314,0.546682,0.898102,0.71907,0.74695,229.016010,183.36285,190.47225
Lady Flower,112,71.7645,17.7738,1.46897,0.433094,0.816135,0.644046,0.682194,208.114425,164.231730,173.959470
Punch of Pink,113,60.9175,20.6786,0.851103,0.291542,0.714724,0.523699,0.574058,182.254620,133.543245,146.384790
