colorCode,colorName,hexCode
HC-1,Castleton Mist,#dbd4a2
HC-2,Beacon Hill Damask,#e6dcac
HC-3,Greenmount Silk,#ede5c5
HC-4,Hawthorne Yellow,#f6e2a5
HC-5,Weston Flax,#f3e6bb
HC-6,Windham Cream,#f6eac8
HC-7,Bryant Gold,#d6a760
HC-8,Dorset Gold,#deb774
HC-9,Chestertown Buff,#dec087
HC-10,Stuart Gold,#dfb967
HC-11,Marblehead Gold,#e2c579
HC-12,Concord Ivory,#e8ce8e
HC-13,Millington Gold,#b99d5c
HC-14,Princeton Gold,#c3ab6d
HC-15,Henderson Buff,#ccbb85
HC-16,Livingston Gold,#a18c60
HC-17,Summerdale Gold,#c2a974
HC-18,Adams Gold,#dbcb9d
HC-19,Norwich Brown,#96815e
HC-20,Woodstock Tan,#a4906b
HC-21,Huntington Beige,#bba988
HC-22,Blair Gold,#bda571
HC-23,Yorkshire Tan,#c1b18d
HC-24,Pittsfield Buff,#decda8
HC-25,Quincy Tan,#c0af8d
HC-26,Monroe Bisque,#dbcbab
HC-27,Monterey White,#eae6d1
HC-28,Shelburne Buff,#ccb68e
HC-29,Dunmore Cream,#dfcfa7
HC-30,Philadelphia Cream,#eedeb8
HC-31,Waterbury Cream,#decb9b
HC-32,Standish White,#ecdcba
HC-33,Montgomery White,#f5e3c1
HC-34,Wilmington Tan,#cdb185
HC-35,Powell Buff,#dfcda8
HC-36,Hepplewhite Ivory,#f4e6c4
HC-37,Mystic Gold,#a8895c
HC-38,Decatur Buff,#c2a87e
HC-39,Putnam Ivory,#dbcaac
HC-40,Greenfield Pumpkin,#9c724a
HC-41,Richmond Gold,#b89264
HC-42,Roxbury Caramel,#cba479
HC-43,Tyler Taupe,#b29770
HC-44,Lenox Tan,#c3af8f
HC-45,Shaker Beige,#d2c3a8
HC-46,Jackson Tan,#ab8a6b
HC-47,Brookline Beige,#c1a78a
HC-48,Bradstreet Beige,#d2bea5
HC-49,Mayflower Red,#9f634e
HC-50,Georgian Brick,#995a4a
HC-51,Audubon Russet,#af6c56
HC-52,Ansonia Peach,#e8b489
HC-53,Hathaway Peach,#f2cba8
HC-54,Jumel Peachtone,#f2d6b8
HC-55,Winthrop Peach,#ceaa91
HC-56,Georgetown Pink Beige,#e0c2ac
HC-57,Sheraton Beige,#ebd4bc
HC-58,Chippendale Rosetone,#d7b4a4
HC-59,Odessa Pink,#e3c9bb
HC-60,Queen Anne Pink,#f2dac7
HC-61,New London Burgundy,#764c4f
HC-62,Somerville Red,#9b6e6c
HC-63,Monticello Rose,#d1afa0
HC-64,Townsend Harbour Brown,#644644
HC-65,Hodley Red,#784e4b
HC-66,Garrison Red,#8d5a57
HC-67,Clinton Brown,#66564b
HC-68,Middlebury Brown,#6a5a4e
HC-69,Whitall Brown,#7c6d5e
HC-70,Van Buren Brown,#605047
HC-71,Hasbrouck Brown,#664d44
HC-72,Branchport Brown,#61524b
HC-73,Plymouth Brown,#80674f
HC-74,Valley Forge Brown,#937355
HC-75,Maryville Brown,#9e7857
HC-76,Davenport Tan,#8b7865
HC-77,Alexandria Beige,#a4937d
HC-78,Litchfield Gray,#d6cbbc
HC-79,Greenbrier Beige,#bcac8f
HC-80,Bleeker Beige,#cec1a9
HC-81,Manchester Tan,#dcd3bd
HC-82,Bennington Gray,#c3b69b
HC-83,Grant Beige,#cfc6b1
HC-84,Elmira White,#dcd4c4
