colorCode,colorName,hexCode,manufacturer
001,Pink Powderpuff,#ffd6cc,Benjamin Moore
002,Newborn Baby,#ffc2b7,Benjamin Moore
003,Pink Paradise,#fdb1a4,Benjamin Moore
004,Pink Polka Dot,#f99686,Benjamin Moore
005,Tucson Coral,#f4806c,Benjamin Moore
006,Picante,#eb6e5b,Benjamin Moore
007,Piñata,#e2513d,Benjamin Moore
008,Pale Pink Satin,#f8d8cd,Benjamin Moore
009,Blushing Brilliance,#f9cac1,Benjamin Moore
010,Pink Canopy,#fcbfb3,Benjamin Moore
011,Paradise Peach,#f8a393,Benjamin Moore
012,Coral Reef,#f08d7e,Benjamin Moore
013,Fan Coral,#ee7c6d,Benjamin Moore
014,Soft Glow,#dd634e,Benjamin Moore
015,Soft Shell,#f8dcd0,Benjamin Moore
016,Bermuda Pink,#ffd7cb,Benjamin Moore
017,Phoenix Sand,#fac5b4,Benjamin Moore
018,Monticello Peach,#f6a58d,Benjamin Moore
019,Salmon Run,#f29479,Benjamin Moore
020,Fresno,#f07b60,Benjamin Moore
021,Jupiter Glow,#e36e4b,Benjamin Moore
022,Peach Cooler,#f8e5d5,Benjamin Moore
023,Heirloom,#f6d9c8,Benjamin Moore
024,Coral Buff,#f8c9b8,Benjamin Moore
025,Vivid Peach,#f2b8a5,Benjamin Moore
026,Coral Glow,#e89f84,Benjamin Moore
027,San Antonio Rose,#d98568,Benjamin Moore
028,Rich Coral,#cf6d53,Benjamin Moore
029,Fruited Plains,#f8dcd2,Benjamin Moore
030,August Sunrise,#efc3b8,Benjamin Moore
031,Georgia Peach,#eaaa9b,Benjamin Moore
032,Coral Rock,#e1917d,Benjamin Moore
033,Golden Gate,#d47965,Benjamin Moore
034,Spiced Pumpkin,#b76150,Benjamin Moore
035,Baked Clay,#9f5646,Benjamin Moore
036,Orchid Pink,#f1d4ca,Benjamin Moore
037,Rose Blush,#eacac2,Benjamin Moore
038,Rosetta,#dfb5ab,Benjamin Moore
039,Sharon Rose,#d79c8f,Benjamin Moore
040,Peaches 'n Cream,#cc8675,Benjamin Moore
041,Spoonful of Sugar,#b36c59,Benjamin Moore
042,Burnt Russet,#894e46,Benjamin Moore
043,East Lake Rose,#f2d6cc,Benjamin Moore
044,Frosted Rose,#edc9bf,Benjamin Moore
045,Romantica,#e8baad,Benjamin Moore
046,Salmon Mousse,#dba593,Benjamin Moore
047,Savannah Clay,#c28674,Benjamin Moore
048,Southwest Pottery,#986058,Benjamin Moore
049,Twilight Dreams,#88554c,Benjamin Moore
050,Pink Moiré,#f3dbcd,Benjamin Moore
051,Precocious,#efcfc2,Benjamin Moore
052,Conch Shell,#e7bead,Benjamin Moore
053,Crazy For You,#e3b6a6,Benjamin Moore
054,Farmer's Market,#d99f88,Benjamin Moore
055,Pumpkin Patch,#d28d6d,Benjamin Moore
056,Montana Agate,#b96e53,Benjamin Moore
057,Orange Sorbet,#f7e4d0,Benjamin Moore
058,Pumpkin Mousse,#f8d6c2,Benjamin Moore
059,Orange Creamsicle,#f5ccb4,Benjamin Moore
060,Fresh Peach,#f1c1a5,Benjamin Moore
061,Myrtle Beach,#e6a984,Benjamin Moore
062,Vegetable Patch,#d9926e,Benjamin Moore
