colorCode,colorName,hexCode,manufacturer
HC-1,Castleton Mist,#dbd4a2,Benjamin Moore
HC-2,Beacon Hill Damask,#e6dcac,Benjamin Moore
HC-3,Greenmount Silk,#ede5c5,Benjamin Moore
HC-4,Hawthorne Yellow,#f6e2a5,Benjamin Moore
HC-5,Weston Flax,#f3e6bb,Benjamin Moore
HC-6,Windham Cream,#f6eac8,Benjamin Moore
HC-7,Bryant Gold,#d6a760,Benjamin Moore
HC-8,Dorset Gold,#deb774,Benjamin Moore
HC-9,Chestertown Buff,#dec087,Benjamin Moore
HC-10,Stuart Gold,#dfb967,Benjamin Moore
HC-11,Marblehead Gold,#e2c579,Benjamin Moore
HC-12,Concord Ivory,#e8ce8e,Benjamin Moore
HC-13,Millington Gold,#b99d5c,Benjamin Moore
HC-14,Princeton Gold,#c3ab6d,Benjamin Moore
HC-15,Henderson Buff,#ccbb85,Benjamin Moore
HC-16,Livingston Gold,#a18c60,Benjamin Moore
HC-17,Summerdale Gold,#c2a974,Benjamin Moore
HC-18,Adams Gold,#dbcb9d,Benjamin Moore
HC-19,Norwich Brown,#96815e,Benjamin Moore
HC-20,Woodstock Tan,#a4906b,Benjamin Moore
HC-21,Huntington Beige,#bba988,Benjamin Moore
HC-22,Blair Gold,#bda571,Benjamin Moore
HC-23,Yorkshire Tan,#c1b18d,Benjamin Moore
HC-24,Pittsfield Buff,#decda8,Benjamin Moore
HC-25,Quincy Tan,#c0af8d,Benjamin Moore
HC-26,Monroe Bisque,#dbcbab,Benjamin Moore
HC-27,Monterey White,#eae6d1,Benjamin Moore
HC-28,Shelburne Buff,#ccb68e,Benjamin Moore
HC-29,Dunmore Cream,#dfcfa7,Benjamin Moore
HC-30,Philadelphia Cream,#eedeb8,Benjamin Moore
HC-31,Waterbury Cream,#decb9b,Benjamin Moore
HC-32,Standish White,#ecdcba,Benjamin Moore
HC-33,Montgomery White,#f5e3c1,Benjamin Moore
HC-34,Wilmington Tan,#cdb185,Benjamin Moore
HC-35,Powell Buff,#dfcda8,Benjamin Moore
HC-36,Hepplewhite Ivory,#f4e6c4,Benjamin Moore
HC-37,Mystic Gold,#a8895c,Benjamin Moore
HC-38,Decatur Buff,#c2a87e,Benjamin Moore
HC-39,Putnam Ivory,#dbcaac,Benjamin Moore
HC-40,Greenfield Pumpkin,#9c724a,Benjamin Moore
HC-41,Richmond Gold,#b89264,Benjamin Moore
HC-42,Roxbury Caramel,#cba479,Benjamin Moore
HC-43,Tyler Taupe,#b29770,Benjamin Moore
HC-44,Lenox Tan,#c3af8f,Benjamin Moore
HC-45,Shaker Beige,#d2c3a8,Benjamin Moore
HC-46,Jackson Tan,#ab8a6b,Benjamin Moore
HC-47,Brookline Beige,#c1a78a,Benjamin Moore
HC-48,Bradstreet Beige,#d2bea5,Benjamin Moore
HC-49,Mayflower Red,#9f634e,Benjamin Moore
HC-50,Georgian Brick,#995a4a,Benjamin Moore
HC-51,Audubon Russet,#af6c56,Benjamin Moore
HC-52,Ansonia Peach,#e8b489,Benjamin Moore
HC-53,Hathaway Peach,#f2cba8,Benjamin Moore
HC-54,Jumel Peachtone,#f2d6b8,Benjamin Moore
HC-55,Winthrop Peach,#ceaa91,Benjamin Moore
HC-56,Georgetown Pink Beige,#e0c2ac,Benjamin Moore
HC-57,Sheraton Beige,#ebd4bc,Benjamin Moore
HC-58,Chippendale Rosetone,#d7b4a4,Benjamin Moore
HC-59,Odessa Pink,#e3c9bb,Benjamin Moore
HC-60,Queen Anne Pink,#f2dac7,Benjamin Moore
HC-61,New London Burgundy,#764c4f,Benjamin Moore
HC-62,Somerville Red,#9b6e6c,Benjamin Moore
HC-63,Monticello Rose,#d1afa0,Benjamin Moore
HC-64,Townsend Harbour Brown,#644644,Benjamin Moore
HC-65,Hodley Red,#784e4b,Benjamin Moore
HC-66,Garrison Red,#8d5a57,Benjamin Moore
HC-67,Clinton Brown,#66564b,Benjamin Moore
HC-68,Middlebury Brown,#6a5a4e,Benjamin Moore
HC-69,Whitall Brown,#7c6d5e,Benjamin Moore
HC-70,Van Buren Brown,#605047,Benjamin Moore
HC-71,Hasbrouck Brown,#664d44,Benjamin Moore
HC-72,Branchport Brown,#61524b,Benjamin Moore
HC-73,Plymouth Brown,#80674f,Benjamin Moore
HC-74,Valley Forge Brown,#937355,Benjamin Moore
HC-75,Maryville Brown,#9e7857,Benjamin Moore
HC-76,Davenport Tan,#8b7865,Benjamin Moore
HC-77,Alexandria Beige,#a4937d,Benjamin Moore
HC-78,Litchfield Gray,#d6cbbc,Benjamin Moore
HC-79,Greenbrier Beige,#bcac8f,Benjamin Moore
HC-80,Bleeker Beige,#cec1a9,Benjamin Moore
HC-81,Manchester Tan,#dcd3bd,Benjamin Moore
HC-82,Bennington Gray,#c3b69b,Benjamin Moore
HC-83,Grant Beige,#cfc6b1,Benjamin Moore
HC-84,Elmira White,#dcd4c4,Benjamin Moore
HC-85,Fairview Taupe,#7d7262,Benjamin Moore
HC-86,Kingsport Gray,#958775,Benjamin Moore
HC-87,Ashley Gray,#a69b8e,Benjamin Moore
HC-88,Jamesboro Gold,#988567,Benjamin Moore
HC-89,Northampton Putty,#ad9d7d,Benjamin Moore
HC-90,Crown Point Sand,#cfc4a5,Benjamin Moore
HC-91,Danville Tan,#bcac89,Benjamin Moore
HC-92,Wheeling Neutral,#cfbfa1,Benjamin Moore
HC-93,Carrington Beige,#dbd2b8,Benjamin Moore
HC-94,Old Salem Gray,#a59b7a,Benjamin Moore
HC-95,Sag Harbour Gray,#b9af96,Benjamin Moore
HC-96,Richmond Gray,#cfc8ab,Benjamin Moore
HC-97,Hancock Gray,#978e71,Benjamin Moore
HC-98,Providence Olive,#ada283,Benjamin Moore
HC-99,Abingdon Putty,#d7cfb2,Benjamin Moore
HC-100,Gloucester Sage,#7c7766,Benjamin Moore
HC-101,Hampshire Gray,#918a73,Benjamin Moore
HC-102,Clarksville Gray,#b3aa91,Benjamin Moore
HC-103,Cromwell Gray,#807867,Benjamin Moore
HC-104,Copley Gray,#928b79,Benjamin Moore
HC-105,Rockport Gray,#a9a396,Benjamin Moore
HC-106,Crownsville Gray,#87806a,Benjamin Moore
HC-107,Gettysburg Gray,#9b9785,Benjamin Moore
HC-108,Sandy Hook Gray,#afa998,Benjamin Moore
HC-109,Sussex Green,#817d65,Benjamin Moore
HC-110,Wethersfield Moss,#908e72,Benjamin Moore
HC-111,Nantucket Gray,#b0ac94,Benjamin Moore
HC-112,Tate Olive,#828167,Benjamin Moore
HC-113,Louisburg Green,#9d9f88,Benjamin Moore
HC-114,Saybrook Sage,#b2b8a3,Benjamin Moore
HC-115,Georgian Green,#bab891,Benjamin Moore
HC-116,Guilford Green,#ccceaf,Benjamin Moore
HC-117,Hancock Green,#d5dbc0,Benjamin Moore
HC-118,Sherwood Green,#aab696,Benjamin Moore
HC-119,Kittery Point Green,#c0ccae,Benjamin Moore
HC-120,Van Alen Green,#cbd8c1,Benjamin Moore
HC-121,Peale Green,#596b55,Benjamin Moore
HC-122,Great Barrington Gree...,#7a8165,Benjamin Moore
HC-123,Kennebunkport Green,#929e83,Benjamin Moore
HC-124,Caldwell Green,#637168,Benjamin Moore
HC-125,Cushing Green,#697767,Benjamin Moore
HC-126,Avon Green,#74806b,Benjamin Moore
HC-127,Fairmont Green,#64856a,Benjamin Moore
HC-128,Clearspring Green,#769b81,Benjamin Moore
HC-129,Southfield Green,#88ac94,Benjamin Moore
HC-130,Webster Green,#65816d,Benjamin Moore
HC-131,Lehigh Green,#76967e,Benjamin Moore
HC-132,Harrisburg Green,#8bac99,Benjamin Moore
HC-133,Yorktowne Green,#475b5e,Benjamin Moore
HC-134,Tarrytown Green,#425853,Benjamin Moore
HC-135,Lafayette Green,#496156,Benjamin Moore
HC-136,Waterbury Green,#6d9288,Benjamin Moore
HC-137,Mill Springs Blue,#7ea29b,Benjamin Moore
HC-138,Covington Blue,#94b6ad,Benjamin Moore
HC-139,Salisbury Green,#b1bba5,Benjamin Moore
HC-140,Prescott Green,#bfcab8,Benjamin Moore
HC-141,Hollingsworth Green,#cdd5c5,Benjamin Moore
HC-142,Stratton Blue,#94aaa1,Benjamin Moore
HC-143,Wythe Blue,#abbfb5,Benjamin Moore
HC-144,Palladian Blue,#c2d2ca,Benjamin Moore
HC-145,Van Courtland Blue,#87999f,Benjamin Moore
HC-146,Wedgewood Gray,#adc0be,Benjamin Moore
HC-147,Woodlawn Blue,#c2d1cb,Benjamin Moore
HC-148,Jamestown Blue,#83a1a7,Benjamin Moore
HC-149,Buxton Blue,#9eb7bb,Benjamin Moore
HC-150,Yarmouth Blue,#b6c9ca,Benjamin Moore
HC-151,Buckland Blue,#628798,Benjamin Moore
HC-152,Whipple Blue,#779fb1,Benjamin Moore
HC-153,Marlboro Blue,#96bac7,Benjamin Moore
HC-154,Hale Navy,#444c57,Benjamin Moore
HC-155,Newburyport Blue,#475667,Benjamin Moore
HC-156,Van Deusen Blue,#495c6f,Benjamin Moore
HC-157,Narragansett Green,#445256,Benjamin Moore
HC-158,Newburg Green,#455a63,Benjamin Moore
HC-159,Philipsburg Blue,#637986,Benjamin Moore
HC-160,Knoxville Gray,#5f6d6d,Benjamin Moore
HC-161,Templeton Gray,#788787,Benjamin Moore
HC-162,Brewster Gray,#8b9797,Benjamin Moore
HC-163,Duxbury Gray,#808780,Benjamin Moore
HC-164,Puritan Gray,#98a09c,Benjamin Moore
HC-165,Boothbay Gray,#abb3b1,Benjamin Moore
HC-166,Kendall Charcoal,#686763,Benjamin Moore
HC-167,Amherst Gray,#767771,Benjamin Moore
HC-168,Chelsea Gray,#87857d,Benjamin Moore
HC-169,Coventry Gray,#b9bbb7,Benjamin Moore
HC-170,Stonington Gray,#cbccc6,Benjamin Moore
HC-171,Wickham Gray,#d5d9d3,Benjamin Moore
HC-172,Revere Pewter,#ccc7b9,Benjamin Moore
HC-173,Edgecomb Gray,#dad4c5,Benjamin Moore
HC-174,Lancaster Whitewash,#e7e2cc,Benjamin Moore
HC-175,Briarwood,#a1998a,Benjamin Moore
HC-176,Annapolis Gray,#cabfb0,Benjamin Moore
HC-177,Richmond Bisque,#dac7a7,Benjamin Moore
HC-178,Charcoal Slate,#65686a,Benjamin Moore
HC-179,Platinum Gray,#a9aaa4,Benjamin Moore
HC-180,Cliffside Gray,#cdd1cb,Benjamin Moore
HC-181,Heritage Red,#9a0b15,Benjamin Moore
HC-182,Classic Burgundy,#6a191b,Benjamin Moore
HC-183,Country Redwood,#772d24,Benjamin Moore
HC-184,Cottage Red,#672b26,Benjamin Moore
HC-185,Tudor Brown,#503b31,Benjamin Moore
HC-186,Charleston Brown,#75533a,Benjamin Moore
HC-187,Black Forest Green,#252f2d,Benjamin Moore
HC-188,Essex Green,#28372f,Benjamin Moore
HC-189,Chrome Green,#0c422f,Benjamin Moore
HC-190,Black,#323233,Benjamin Moore
HC-191,Hamilton Blue,#607780,Benjamin Moore
