colorCode,colorName,hexCode,manufacturer
0001,Hint of Vanilla,#eee8dc,Cloverdale Paint
0002,Elusive White,#e8e3d6,Cloverdale Paint
0003,Nilla Vanilla,#f1ebe0,Cloverdale Paint
0004,Child of Heaven,#f1ebe0,Cloverdale Paint
0005,Kiara,#f5ecdc,Cloverdale Paint
0006,Little Dove,#ebe0ce,Cloverdale Paint
0007,Cotton Ball,#f5efde,Cloverdale Paint
0008,Casa Blanca,#f4ecd8,Cloverdale Paint
0009,Chapel Wall,#f3ead7,Cloverdale Paint
0010,Petticoat,#efe5ce,Cloverdale Paint
0011,Sugar Dust,#f8f6ed,Cloverdale Paint
0012,Bunny Cake,#f5efe2,Cloverdale Paint
0013,Sphere,#f2e8cc,Cloverdale Paint
0014,Twill,#f0e8d3,Cloverdale Paint
0015,White Glove,#f9f4e3,Cloverdale Paint
0016,Pumice Stone,#f7f1df,Cloverdale Paint
0017,Luna Moon,#eceae1,Cloverdale Paint
0018,Dove White,#e6e2d8,Cloverdale Paint
0019,Mystic Fog,#eae9e1,Cloverdale Paint
0020,Bonaire,#e6e2d7,Cloverdale Paint
0021,Barely White,#e1e3dd,Cloverdale Paint
0022,White Kitten,#dfdfdb,Cloverdale Paint
0023,Shell Tint,#ecf0e9,Cloverdale Paint
0024,Just About White,#e8e8e0,Cloverdale Paint
0025,Prismatic Pearl,#eae8dd,Cloverdale Paint
0026,Moon Drop,#ddd5c9,Cloverdale Paint
0027,White Fence,#e8e4d9,Cloverdale Paint
0028,Bannister White,#e1e0d6,Cloverdale Paint
0029,Cherish is the Word,#e6e4da,Cloverdale Paint
0030,Lady Nicole,#d6d6cd,Cloverdale Paint
0031,Italian Ice,#e2e0d3,Cloverdale Paint
0032,Ice Dream,#eaebe1,Cloverdale Paint
0033,Chafed Wheat,#f6e0cf,Cloverdale Paint
0034,Here Comes the Sun,#f1d0be,Cloverdale Paint
0035,Weekend Retreat,#e9c2ad,Cloverdale Paint
0036,Fortune's Prize,#daa994,Cloverdale Paint
0037,Money Tree,#c9937a,Cloverdale Paint
0038,Autumn's Hill,#ba7a61,Cloverdale Paint
0039,Mandalay Road,#a05f45,Cloverdale Paint
0040,Antique Candle Light,#f4e1d6,Cloverdale Paint
0041,Chinese Cherry,#f1d7cb,Cloverdale Paint
0042,Antoinette Pink,#e7c2b4,Cloverdale Paint
0043,Angel Breath,#dcaf9f,Cloverdale Paint
0044,Calliope,#c89a8d,Cloverdale Paint
0045,Sizzling Hot,#a36956,Cloverdale Paint
0046,Valentino,#7f4738,Cloverdale Paint
0047,Sand Island,#f4d1c2,Cloverdale Paint
0048,Embrace,#e8b8a7,Cloverdale Paint
0049,Auburn Wave,#d8a394,Cloverdale Paint
0050,Simmering Ridge,#cb9281,Cloverdale Paint
0051,Caramel Candy,#b3715d,Cloverdale Paint
0052,Spiced Carrot,#a4624c,Cloverdale Paint
0053,Remaining Embers,#8a4c38,Cloverdale Paint
0054,Wink Pink,#f8e8df,Cloverdale Paint
0055,Strawberry Whip,#f9d7cd,Cloverdale Paint
0056,Dainty Debutante,#f4bdb3,Cloverdale Paint
0057,Marble Pink,#d28279,Cloverdale Paint
0058,Angelic Choir,#b8665c,Cloverdale Paint
0059,Quintessential,#8c4f46,Cloverdale Paint
0060,Parlor Rose,#893e39,Cloverdale Paint
0061,Pinkathon,#f1bdba,Cloverdale Paint
0062,Blooming Perfect,#d89696,Cloverdale Paint
0063,Impatient Heart,#c47d7c,Cloverdale Paint
0064,Lord Baltimore,#b76764,Cloverdale Paint
0065,Poppy Prose,#ae605b,Cloverdale Paint
0066,Wild Rose,#90343a,Cloverdale Paint
0067,Lover's Kiss,#8f3b3d,Cloverdale Paint
0068,Summer Blush,#f7dfd7,Cloverdale Paint
0069,Empire Rose,#e7c5c1,Cloverdale Paint
0070,O Fortuna,#e1b8b5,Cloverdale Paint
0071,Ruby Eye,#d0a2a0,Cloverdale Paint
0072,Notice Me,#ba8686,Cloverdale Paint
0073,Corazon,#9d6663,Cloverdale Paint
0074,Emperor's Robe,#7b4940,Cloverdale Paint
0075,Pink Duet,#f8e7e4,Cloverdale Paint
0076,Fantastic Pink,#e6c8c9,Cloverdale Paint
0077,Pink Softness,#deb8bc,Cloverdale Paint
0078,Be Mine,#c99ea3,Cloverdale Paint
0079,Prophetess,#be8b8f,Cloverdale Paint
0080,Abra Cadabra,#966165,Cloverdale Paint
0081,Berry Crush,#73413e,Cloverdale Paint
0082,Rose Shadow,#f4d6d6,Cloverdale Paint
0083,Pink Coral,#eccacc,Cloverdale Paint
0084,Quiet Pink,#e6bcc0,Cloverdale Paint
0085,Fragrant Satchel,#d9a2aa,Cloverdale Paint
0086,King's Cloak,#c48692,Cloverdale Paint
0087,Cinnapink,#a6646f,Cloverdale Paint
0088,Casandra,#7c4549,Cloverdale Paint
0089,Star of Morning,#ebbbbe,Cloverdale Paint
0090,Moon Goddess,#d8a7ae,Cloverdale Paint
0091,Garnet Shadow,#c89095,Cloverdale Paint
