colorCode,colorName,hexColor
SW0001,Mulberry Silk,#94766C
SW0002,Chelsea Mauve,#BEAC9F
SW0003,Cabbage Rose,#C59F91
SW0004,Rose Brocade,#996C6E
SW0005,Deepest Mauve,#6D595A
SW0006,Toile Red,#8B534E
SW0007,Decorous Amber,#AC7559
SW0008,Cajun Red,#8D422F
SW0009,Eastlake Gold,#C28E61
SW0010,Wickerwork,#C19E80
SW0011,Crewel Tan,#CBB99B
SW0012,Empire Gold,#C19F6E
SW0013,Majolica Green,#AEB08F
SW0014,Sheraton Sage,#8F8666
SW0015,Gallery Green,#708672
SW0016,Billiard Green,#45584D
SW0017,Calico,#8CA49C
SW0018,Teal Stencil,#627F7B
SW0019,Festoon Aqua,#A0BBB8
SW0020,Peacock Plume,#739694
SW0021,Queen Anne Lilac,#C0B6B4
SW0022,Patchwork Plum,#7E696A
SW0023,Pewter Tankard,#A39B90
SW0024,Curio Gray,#988977
SW0025,Rosedust,#CC8D84
SW0026,Rachel Pink,#E8B9AE
SW0027,Aristocrat Peach,#ECCEB9
SW0028,Caen Stone,#ECD0B1
SW0029,Acanthus,#CDCDB4
SW0030,Colonial Yellow,#EFC488
SW0031,Dutch Tile Blue,#9AABAB
SW0032,Needlepoint Navy,#546670
SW0033,Rembrandt Ruby,#974F49
SW0034,Roycroft Rose,#C08F80
SW0035,Indian White,#EEDAC3
SW0036,Buckram Binding,#D9C3A6
SW0037,Morris Room Grey,#ADA193
SW0038,Library Pewter,#7F7263
SW0039,Portrait Tone,#C4957A
SW0040,Roycroft Adobe,#A76251
SW0041,Dard Hunter Green,#3A4A3F
SW0042,Ruskin Room Green,#ACA17D
SW0043,Peristyle Brass,#AE905E
SW0044,Hubbard Squash,#E9BF8C
SW0045,Antiquarian Brown,#946644
SW0046,White Hyacinth,#F3E5D1
SW0047,Studio Blue Green,#6D817B
SW0048,Bunglehouse Blue,#47626F
SW0049,Silver Gray,#B8B2A2
SW0050,Classic Light Buff,#F0EADC
SW0051,Classic Ivory,#F2E0C3
SW0052,Pearl Gray,#CBCEC5
SW0053,Porcelain,#E9E0D5
SW0054,Twilight Gray,#C8BFB5
SW0055,Light French Gray,#C2C0BB
SW0056,Classic Sand,#D6BCAA
SW0057,Chinese Red,#9E3E33
SW0058,Jazz Age Coral,#F1BFB1
SW0059,Frostwork,#CBD0C2
SW0060,Alexandrite,#598C74
SW0061,Salon Rose,#AB7878
SW0062,Studio Mauve,#C6B9B8
SW0063,Blue Sky,#ABD1C9
SW0064,Blue Peacock,#014E4C
SW0065,Vogue Green,#4B5645
SW0066,Cascade Green,#ACB19F
SW0067,Belvedere Cream,#F0CDA0
SW0068,Copen Blue,#C2CCC4
SW0069,Rose Tan,#CD9C85
SW0070,Pink Shadow,#DEC3B9
SW0071,Orchid,#BC9C9E
SW0072,Deep Maroon,#623F45
SW0073,Chartreuse,#E1D286
SW0074,Radiant Lilac,#A489A0
SW0075,Holiday Turquoise,#8AC6BD
SW0076,Appleblossom,#DAB5B4
SW0077,Classic French Gray,#888782
SW0078,Sunbeam Yellow,#F0D39D
SW0079,Pinky Beige,#C9AA98
SW0080,Pink Flamingo,#CD717B
SW1015,Skyline Steel,#C6BFB3
SW1666,Venetian Yellow,#F6E3A1
SW1667,Icy Lemonade,#F4E8B2
SW1668,Pineapple Cream,#F2EAC3
SW2704,Merlot,#51323B
SW2735,Rockweed,#443735
SW2739,Charcoal Blue,#3D4450
SW2740,Mineral Gray,#515763
SW2801,Rookwood Dark Red,#4B2929
SW2802,Rookwood Red,#622F2D
SW2803,Rookwood Terra Cotta,#975840
SW2804,Renwick Rose Beige,#AF8871
SW2805,Renwick Beige,#C3B09D
SW2806,Rookwood Brown,#7F614A
SW2807,Rookwood Medium Brown,#6E5241
SW2808,Rookwood Dark Brown,#5F4D43
SW2809,Rookwood Shutter Green,#303B39
SW2810,Rookwood Sash Green,#506A67
SW2811,Rookwood Blue Green,#738478
SW2812,Rookwood Jade,#979F7F
SW2813,Downing Straw,#CAAB7D
SW2814,Rookwood Antique Gold,#A58258
SW2815,Renwick Olive,#97896A
SW2816,Rookwood Dark Green,#565C4A
SW2817,Rookwood Amber,#C08650
SW2818,Renwick Heather,#8B7D7B
SW2819,Downing Slate,#777F86
SW2820,Downing Earth,#887B67
SW2821,Downing Stone,#A6A397
SW2822,Downing Sand,#CBBCA5
SW2823,Rookwood Clay,#9A7E64
SW2824,Renwick Golden Oak,#96724C
SW2826,Colonial Revival Green Stone,#A39B7E
SW2827,Colonial Revival Stone,#A7947C
SW2828,Colonial Revival Tan,#D3B699
SW2829,Classical White,#ECE1CB
SW2831,Classical Gold,#EBB875
SW2832,Colonial Revival Gray,#B4B9B9
SW2833,Roycroft Vellum,#E8D9BD
SW2834,Birdseye Maple,#E4C495
SW2835,Craftsman Brown,#AE9278
SW2836,Quartersawn Oak,#85695B
SW2837,Aurora Brown,#6A4238
SW2838,Polished Mahogany,#432722
SW2839,Roycroft Copper Red,#7B3728
SW2840,Hammered Silver,#978A7F
SW2841,Weathered Shingle,#937F68
SW2842,Roycroft Suede,#A79473
SW2843,Roycroft Brass,#7A6A51
SW2844,Roycroft Mist Gray,#C2BDB1
SW2845,Bunglehouse Gray,#988F7B
SW2846,Roycroft Bronze Green,#575449
SW2847,Roycroft Bottle Green,#324038
SW2848,Roycroft Pewter,#616564
SW2849,Westchester Gray,#797978
SW2850,Chelsea Gray,#B6B7B0
SW2851,Sage Green Light,#73705E
SW2853,New Colonial Yellow,#D9AD7F
SW2854,Caribbean Coral,#BE795E
SW2855,Sycamore Tan,#9C8A79
SW2856,Fairfax Brown,#61463A
SW2857,Peace Yellow,#EECF9E
SW2858,Harvest Gold,#D9A06A
SW2859,Beige,#DFC8B5
SW2860,Sage,#B3AE95
